COMMON_NAME,GENUS,SPECIESp,TreeSpecies
treecotton,Kokia,spp.,KOKIA
leadwood,Krugiodendron,ferreum,KRFE
burgan,Kunzea,ericoides,KUER
Kunzea,Kunzea,spp.,KUNZE
summit labordia,Labordia,fagraeoidea,LAFA2
bog labordia,Labordia,hedyosmifolia,LAHE2
mountain labordia,Labordia,hirtella,LAHI5
Waianae Range labordia,Labordia,kaalae,LAKA
Wahiawa Mountain labordia,Labordia,lydgatei,LALY2
labordia,Labordia,spp.,LABOR
paleflower labordia,Labordia,tinifolia,LATI2
Lanai labordia,Labordia,triflora,LATR4
Nevada peavine,Labordia,waiolani,LAWA3
cuero de rana,Laetia,procera,LAPR2
crapemyrtle,Lagerstroemia,indica,LAIN
pride of India,Lagerstroemia,speciosa,LASP
Langsat,Lansium,domesticum,LADO2
nino de cota,Laplacea,portoricensis,LAPO
bluelatan,Latania,loddigesii,LALO
henna,Lawsonia,inermis,LAIN5
Krug's roughleaf,Leandra,krugiana,LEKR
pitahaya,Leptocereus,quadricostatus,LEQU
large-leaf yellow teatree,Leptospermum,morrisonii,LEMO20
common teatree,Leptospermum,petersonii,LEPE23
cream albizia,Albizia,adinocephala,ALAD
naked albizia,Albizia,carbonaria,ALCA8
Chinese albizia,Albizia,chinensis,ALCH2
ukall ra ngebard,Albizia,falcataria,ALFA5
woman's tongue,Albizia,lebbeck,ALLE
tall albizia,Albizia,procera,ALPR
ukall ra ngebard,Albizia,retusa,ALRE
whiteflower albizia,Albizia,saponaria,ALSA10
albizia,Albizia,spp.,ALBIZ
achiotillo,Alchornea,latifolia,ALLA
palo de gallina,Alchorneopsis,floribunda,ALFL3
Hawaii alectryon,Alectryon,macrococcus,ALMA
alectryon,Alectryon,spp.,ALECT
Indian walnut,Aleurites,moluccana,ALMO2
aleurites,Aleurites,spp.,ALEUR
lumbang,Aleurites,trisperma,ALTR11
palo blanco,Allophylus,crassinervis,ALCR9
palo de caja,Allophylus,racemosus,ALRA
Allophylus,Allophylus,spp.,ALLOP
chebeludes,Allophylus,ternatus,ALTE13
Senegal mahogany,Khaya,senegalensis,KHSE2
Kigelia africana,Kigelia,africana,KIAF
guest tree,Kleinhovia,hospita,KLHO
Koanophyllon polyodon,Koanophyllon,polyodon,KOPO
Molokai treecotton,Kokia,cookei,KOCO2
Hawaii treecotton,Kokia,drynarioides,KODR
Kauai treecotton,Kokia,kauaiensis,KOKA
Wailupe Valley treecotton,Kokia,lanceolata,KOLA2
common teatree,Leptospermum,polygalifolim,LEPO22
broom teatree,Leptospermum,scoparium,LESC2
teatree,Leptospermum,spp.,LEPTO4
Leucaena insularum,Leucaena,insularum,LEIN31
white leadtree,Leucaena,leucocephala,LELE10
leadtree,Leucaena,spp.,LEUCA
Maria laurel,Licaria,brittoniana,LIBR5
Puerto Rico cinnamon,Licaria,parvifolia,LIPA9
pepperleaf sweetwood,Licaria,triandra,LITR
Amur privet,Ligustrum,amurense,LIAM
Chinese privet,Ligustrum,sinense,LISI
privet,Ligustrum,spp.,LIGUS2
Lychee,Litchi,chinensis,LICH4
papaono,Litsea,samoensis,LISA8
Litsea,Litsea,spp.,LITSE
fountain palm,Livistona,chinensis,LICH3
geno geno,Lonchocarpus,domingensis,LODO5
geno,Lonchocarpus,glaucifolius,LOGL2
broadleaf lancepod,Lonchocarpus,heptaphyllus,LOHE7
vinegartree,Lophostemon,confertus,LOCO9
Egg Fruit / Canistel,Lucuma,nervosa,LUNE4
luehea,Luehea,speciosa,LUSP11
"bakauaine, nana",Lumnitzera,littorea,LULI8
lunania,Lunania,spp.,LUNAN
Lunania ekmanii,Lunania,ekmanii,LUEK
St. Thomas staggerbush,Lyonia,rubiginosa,LYRU2
"macadamia nut tree, pengua",Macadamia,integrifolia,MAIN8
Macadamia,Macadamia,spp.,MACAD
Macadamia Nut,Macadamia,tetraphylla,MATE16
bedel,Macaranga,carolinensis,MACA25
Macaranga grayana,Macaranga,grayana,MAGR
lau pata,Macaranga,harveyana,MAHA9
pengua,Macaranga,mappa,MAMA28
macaranga,Macaranga,spp.,MACAR
lau fatu,Macaranga,stipulosa,MAST7
parasol leaf tree,Macaranga,tanarius,MATA3
Macaranga thompsonii,Macaranga,thompsonii,MATH3
palo de hoz,Machaerium,lunatum,MALU2
Puerto Rico alfilerillo,Machaonia,portoricensis,MAPO6
Maclura tinctoria,Maclura,tinctoria,MATI3
umbrella-tree,Maesopsis,eminii,MAEM2
Puerto Rico magnolia,Magnolia,portoricensis,MAPO2
laurel magnolia,Magnolia,splendens,MASP
Mallotus palauensis,Mallotus,palauensis,MAPA6
kamala tree,Mallotus,philippensis,MAPH4
mallotus,Mallotus,spp.,MALLO
Mallotus tiliifolius,Mallotus,tiliifolius,MATI4
Singapore holly,Malpighia,coccigera,MACO11
Barbados cherry,Malpighia,emarginata,MAEM
palo bronco,Malpighia,fucata,MAFU2
wild crapemyrtle,Malpighia,glabra,MAGL6
cowhage cherry,Malpighia,infestissima,MAIN5
bastard cherry,Malpighia,linearis,MALI2
mammee apple,Mammea,americana,MAAM2
manapau,Mammea,glauca,MAGL12
chopak,Mammea,odorata,MAOD2
Mammea,Mammea,spp.,MAMME
kanit,Mangifera,minor,MAMI3
saipan mango,Mangifera,odorata,MAOD
"ebeludes, chebeludes",Allophylus,timorensis,ALTI2
Nepal alder,Alnus,nepalensis,ALNE2
"chelebiob, elebiong",Alphitonia,carolinensis,ALCA21
Hawaii kauilatree,Alphitonia,ponderosa,ALPO3
Alphitonia,Alphitonia,spp.,ALPHI
toi,Alphitonia,zizyphoides,ALZI
helecho gigante de la sierra,Alsophila,bryophila,ALBR4
Alsophila portoricensis,Alsophila,portoricensis,ALPO7
deviltree,Alstonia,macrophylla,ALMA16
Alstonia pacifica,Alstonia,pacifica,ALPA22
alstonia,Alstonia,spp.,ALSTO
black calabash,Amphitecna,latifolia,AMLA4
balsam torchwood,Amyris,balsamifera,AMBA2
anacardium,Anacardium,spp.,ANACA
cashew,Anacardium,occidentale,ANOC
Anacolosa insularis,Anacolosa,insularis,ANIN13
Anadenanthera peregrina,Anadenanthera,peregrina,ANPE13
cabbagebark tree,Andira,inermis,ANIN
dermarm,Angiopteris,evecta,ANEV
canelillo,Aniba,bracteata,ANBR7
Annona cherimola,Annona,cherimola,ANCH9
ilama,Annona,diversifolia,ANDI11
mountain soursop,Annona,montana,ANMO
soursop,Annona,muricata,ANMU2
custard apple,Annona,reticulata,ANRE
Annona,Annona,spp.,ANNON
sugar apple,Annona,squamosa,ANSQ
Kapua china laurel,Antidesma,kapuae,ANKA
Antidesma bunius,Antidesma,bunius,ANBU3
Antidesma kusaiense,Antidesma,kusaiense,ANKU3
ha a,Antidesma,platyphyllum,ANPL2
Antidesma ponapense,Antidesma,ponapense,ANPO8
hame,Antidesma,pulvinatum,ANPU2
Antidesma sphaerocarpum,Antidesma,sphaerocarpum,ANSP14
chinalaurel,Antidesma,spp.,ANTID
placa chiquitu,Antirhea,acutata,ANAC4
pegwood,Antirhea,coriacea,ANCO3
Antirhea inconspicua,Antirhea,inconspicua,ANIN2
palo iloron,Antirhea,lucida,ANLU3
quina roja,Antirhea,obtusifolia,ANOB2
Puerto Rico quina,Antirhea,portoricensis,ANPO3
slippery elm,Ulmus,rubra,ULRU
September elm,Ulmus,serotina,ULSE
rock elm,Ulmus,thomasii,ULTH
California-laurel,Umbellularia,californica,UMCA
Joshua tree,Yucca,brevifolia,YUBR
black-mangrove,Avicennia,germinans,AVGE
buttonwood-mangrove,Conocarpus,erectus,COER2
white-mangrove,Laguncularia,racemosa,LARA2
American mangrove,Rhizophora,mangle,RHMA2
desert ironwood,Olneya,tesota,OLTE
saltcedar,Tamarix,spp.,TAMAR2
melaleuca,Melaleuca,quinquenervia,MEQU
chinaberry,Melia,azedarach,MEAZ
Chinese tallowtree,Triadica,sebifera,TRSE6
tungoil tree,Vernicia,fordii,VEFO
smoketree,Cotinus,obovatus,COOB2
Russian-olive,Elaeagnus,angustifolia,ELAN
Unknown dead hardwood,Tree,broadleaf,2TB
Other or unknown live tree,Tree,unknown,2TREE
Washington hawthorn,Crataegus,phaenopyrum,CRPH
fleshy hawthorn,Crataegus,succulenta,CRSU5
dwarf hawthorn,Crataegus,uniflora,CRUN
Berlandier ash,Fraxinus,berlandieriana,FRBE
blackbrush wattle,Acacia,anegadensis,ACAN4
mulga,Acacia,aneura,ACAN10
auri,Acacia,auriculiformis,ACAU
small Philippine acacia,Acacia,confusa,ACCO
koa,Acacia,koa,ACKO
koaoha,Acacia,koaia,ACKO2
porknut,Acacia,macracantha,ACMA
Acacia mangium,Acacia,mangium,ACMA12
black wattle,Acacia,mearnsii,ACME80
blackwood,Acacia,melanoxylon,ACME
spineless wattle,Acacia,muricata,ACMU
gum arabic tree,Acacia,nilotica,ACNI2
South Wales wattle,Acacia,parramattensis,ACPA81
Acacia polyacantha,Acacia,polyacantha,ACPO3
poponax,Acacia,tortuosa,ACTO
hollowheart,Acnistus,arborescens,ACAR
grugru palm,Acrocomia,media,ACME2
baobab,Adansonia,digitata,ADDI3
wild lime,Adelia,ricinella,ADRI
red beadtree,Adenanthera,pavonina,ADPA
beadtree,Adenanthera,spp.,ADENA
Caribbean spiritweed,Aegiphila,martinicensis,AEMA
kauri,Agathis,australis,AGAU4
Queensland kauri,Agathis,robusta,AGRO6
Titimel,Aglaia,mariannensis,AGMA14
mesecheues,Aglaia,palauensis,AGPA19
"karasyu, marasau",Aglaia,ponapensis,AGPO4
laga ali,Aglaia,samoensis,AGSA9
Aglaia,Aglaia,spp.,AGLAI
Olomea,Aidia,cochinchinensis,AICO2
Aidia racemosa,Aidia,racemosa,AIRA2
ailanthus,Ailanthus,spp.,AILAN
Aiphanes minima,Aiphanes,minima,AIMI
maconcona,Ilex,guianensis,ILGU
Caribbean holly,Ilex,macfadyenii,ILMA
Puerto Rico holly,Ilex,nitida,ILNI
mate,Ilex,paraguariensis,ILPA3
gongolin,Ilex,sideroxyloides,ILSI
Sintenis' holly,Ilex,sintenisii,ILSI2
holly,Ilex,spp.,ILEX
Urban's holly,Ilex,urbaniana,ILUR
Ilex urbaniana,Ilex,urbaniana,ILURR
inga,Inga,spp.,INGA
sacky sac bean,Inga,laurina,INLA
Inga nobilis,Inga,nobilis,INNOQ
river koko,Inga,vera,INVE
ifi,Inocarpus,fagifer,INFA3
ifilele,Intsia,bijuga,INBI
palo de hierro,Ixora,ferrea,IXFE
white jungleflame,Ixora,thwaitesii,IXTH
black poui,Jacaranda,mimosifolia,JAMI
jacaranda,Jacaranda,spp.,JACAR
braceletwood,Jacquinia,armillaris,JAAR2
bois bande,Jacquinia,berteroi,JABE
chirriador,Jacquinia,umbellata,JAUM
Barbados nut,Jatropha,curcas,JACU2
wild oilnut,Jatropha,hernandiifolia,JAHE
coralbush,Jatropha,multifida,JAMU
nettlespurge,Jatropha,spp.,JATRO
West Indian walnut,Juglans,jamaicensis,JUJA
ketoguit,Kayea,pacifica,KAPA4
Khaya anthotheca,Khaya,anthotheca,KHAN
mango,Mangifera,spp.,MANGI
ceara rubbertree,Manihot,glaziovii,MAGL5
manihot,Manihot,spp.,MANIH
bulletwood,Manilkara,bidentata,MABI5
Surinam bulletwood,Manilkara,bidentata,MABIS
pani,Manilkara,dissecta,MADI14
kohle,Manilkara,hoshinoi,MAHO5
cyrtandra,Cyrtandra,pulchella,CYPU13
oleandra fern,Oleandra,neriiformis,OLNE
poison devils-pepper,Rauvolfia,vomitoria,RAVO
fua lole,Procris,pedunculata,PRPE6
"santol, kechapi",Sandoricum,koetjape,SAKO4
Sintenis' quina,Antirhea,sintenisii,ANSI
parana pine,Araucaria,angustifolia,ARAN15
New Caledonia pine,Araucaria,columnaris,ARCO32
Norfolk Island Pine,Araucaria,excelsa,AREX4
Norfolk Island pine,Araucaria,heterophylla,ARHE12
Araucaria,Araucaria,spp.,ARAUC2
Alexandra palm,Archontophoenix,alexandrae,ARAL
shoebutton,Ardisia,elliptica,AREL4
ausubon,Ardisia,glauciflora,ARGL11
mountain marlberry,Ardisia,luquillensis,ARLU3
Guadeloupe marlberry,Ardisia,obovata,AROB2
China-shrub,Ardisia,solanacea,ARSO
marlberry,Ardisia,spp.,ARDIS
betelnut,Areca,catechu,ARCA41
cabo-negro,Arenga,pinnata,ARPI6
breadfruit,Artocarpus,altilis,ARAL7
Artocarpus heterophyllus,Artocarpus,heterophyllus,ARHE2
"dugdug, Marianas breadfruit",Artocarpus,mariannensis,ARMA28
Artocarpus nobilis,Artocarpus,nobilis,ARNO
Marang,Artocarpus,odoratissimus,AROD2
meduu,Artocarpus,spp.,ARTOC
taputoi,Arytera,brackenridgei,ARBR11
afia,Ascarina,diffusa,ASDI14
Astronidium navigatorum,Astronidium,navigatorum,ASNA10
meskui,Astronidium,palauense,ASPA37
Astronidium pickeringii,Astronidium,pickeringii,ASPI11
Astronidium samoense,Astronidium,samoense,ASSA23
Astronidium,Astronidium,spp.,ASTRO4
Astronidium subcordata,Astronidium,subcordata,ASSU31
ifi ifi,Atuna,racemosa,ATRA2
Bilimbi,Averrhoa,bilimbi,AVBI
carambola,Averrhoa,carambola,AVCA
Averrhoa,Averrhoa,spp.,AVERR
biut,Avicennia,alba,AVAL
Avicennia marina,Avicennia,marina,AVMA3
Avicennia,Avicennia,spp.,AVICE
neem,Azadirachta,indica,AZIN2
Saitamu,Baccaurea,taitensis,BATA
ralm,Badusa,palauensis,BAPA8
bamboo,Bambusa,spp.,BAMBU
common bamboo,Bambusa,vulgaris,BAVU2
Puerto Rico palo de ramon,Banara,portoricensis,BAPO
Vanderbilt's palo de ramon,Banara,vanderbiltii,BAVA2
sea putat,Barringtonia,asiatica,BAAS3
langaasag,Barringtonia,racemosa,BARA5
falaga,Barringtonia,samoensis,BASA9
Barringtonia,Barringtonia,spp.,BARRI
Bastardiopsis eggersii,Bastardiopsis,eggersii,BAEG6
Bauhinia binata,Bauhinia,binata,BABI6
Napoleon's plume,Bauhinia,monandra,BAMO2
petite flamboyant bauhinia,Bauhinia,multinervia,BAMU3
railroadfence,Bauhinia,pauletia,BAPA3
butterfly tree,Bauhinia,purpurea,BAPU
bauhinia,Bauhinia,spp.,BAUHI
St. Thomas tree,Bauhinia,tomentosa,BATO
mountain ebony,Bauhinia,variegata,BAVA
slugwood,Beilschmiedia,pendula,BEPE
Caribbean myrtlecroton,Bernardia,dichotoma,BEDI2
Javanese bishopwood,Bischofia,javanica,BIJA
bishopwood,Bischofia,spp.,BISCH
lipsticktree,Bixa,orellana,BIOR
bixa,Bixa,spp.,BIXA
akee,Blighia,sapida,BLSA2
akupa,Bobea,brevipes,BOBR3
ahakea lau nui,Bobea,elatior,BOEL3
Hawaii dogweed,Bobea,sandwicensis,BOSA2
ahakea,Bobea,spp.,BOBEA
wild dilly,Manilkara,jaimiqui,MAJA2
zapote de costa,Manilkara,pleeana,MAPL2
Manilkara,Manilkara,spp.,MANIL
udeuid,Manilkara,udoido,MAUD
nisperillo,Manilkara,valenzuela,MAVA3
sapodilla,Manilkara,zapota,MAZA
palo de cana,Mappia,racemosa,MARA3
"bkau, apgau",Maranthes,corymbosa,MACO
dermarm,Marattia,fraxinea,MAFR11
bastard hogberry,Margaritaria,nobilis,MANO
beruquillo,Marlierea,sintenisii,MASI3
Matayba apetala,Matayba,apetala,MAAP5
negra lora,Matayba,domingensis,MADO2
Caribbean mayten,Maytenus,cymosa,MACY2
Puerto Rico mayten,Maytenus,elongata,MAEL3
white cinnamon,Maytenus,laevigata,MALA8
ponce mayten,Maytenus,ponceana,MAPO5
Mecranium latifolium,Mecranium,latifolium,MELA7
Medusanthera carolinensis,Medusanthera,carolinensis,MECA21
matamo,Medusanthera,samoensis,MESA11
Medusanthera,Medusanthera,spp.,MEDUS2
melaleuca,Melaleuca,spp.,MELAL
alom,Melanolepis,multiglandulosa,MEMU10
Melastoma candidum,Melastoma,candidum,MECA9
Melastoma sanguineum,Melastoma,sanguineum,MESA3
melia,Melia,spp.,MELIA
Spanish lime,Melicoccus,bijugatus,MEBI
mokihana,Melicope,anisata,MEAN3
Ballous melicope,Melicope,balloui,MEBA2
uahiapele,Melicope,barbigera,MEBA3
Waianae Range melicope,Melicope,christophersenii,MECH2
manena,Melicope,cinerea,MECI6
kukaemoa,Melicope,clusiifolia,MECL
piloula,Melicope,cruciata,MECR5
leiohiiaka,Melicope,elliptica,MEEL2
Haleakala melicope,Melicope,haleakalae,MEHA7
Haupa Mountain melicope,Melicope,haupuensis,MEHA3
mokihana kukae moa,Melicope,hawaiensis,MEHA4
Monoa melicope,Melicope,hiiakae,MEHI6
Honolulu melicope,Melicope,hosakae,MEHO2
Kaala melicope,Melicope,kaalaensis,MEKA2
Olokele Valley melicope,Melicope,knudsenii,MEKN
Kaholuamanu melicope,Melicope,macropus,MEMA6
Makaha Valley melicope,Melicope,makahae,MEMA7
Molokai melicope,Melicope,molokaiensis,MEMO6
alani,Melicope,mucronulata,MEMU4
Oahu melicope,Melicope,oahuensis,MEOA
Makawao melicope,Melicope,obovata,MEOB4
Honokahua melicope,Melicope,orbicularis,MEOR4
Hana melicope,Melicope,ovalis,MEOV
eggshape melicope,Melicope,ovata,MEOV2
pale melicope,Melicope,pallida,MEPA6
Lihue melicope,Melicope,paniculata,MEPA7
boxfruit alani,Melicope,peduncularis,MEPE9
Kohala Summit melicope,Melicope,pseudoanisata,MEPS
hairy melicope,Melicope,puberula,MEPU4
fourangle melicope,Melicope,quadrangularis,MEQU3
kapu melicope,Melicope,radiata,MERA2
soopini,Melicope,latifolia,MERE8
roundleaf melicope,Melicope,rotundifolia,MERO3
St. Johns melicope,Melicope,saint-johnii,MESA4
Mt. Kaala melicope,Melicope,sandwicensis,MESA5
melicope,Melicope,spp.,MELIC3
volcanic melicope,Melicope,volcanica,MEVO
alani wai,Melicope,waialealae,MEWA2
Monoa melicope,Melicope,wawraeana,MEWA4
kipuka piaula,Melicope,zahlbruckneri,MEZA
samoensis,Melicytus,samoensis,MESA9
aguacatillo,Meliosma,herbertii,MEHE
cacaillo,Meliosma,obtusifolia,MEOB2
mao,Melochia,aristata,MEAR16
melochia,Melochia,spp.,MELOC
teabush,Melochia,tomentosa,METO4
hierba del soldado,Melochia,umbellata,MEUM3
faniok,Merrilliodendron,megacarpum,MEME12
ahakea,Bobea,timonioides,BOTI
parrotweed,Bocconia,frutescens,BOFR2
bocconia,Bocconia,spp.,BOCCO
virgata,Boehmeria,virgata,BOVI7
white alling,Bontia,daphnoides,BODA
Bourreria radula,Bourreria,radula,BORA2
bodywood,Bourreria,succulenta,BOSU2
roble de guayo,Bourreria,virgata,BOVI2
kanawao,Broussaisia,arguta,BRAR6
paper mulberry,Broussonetia,papyrifera,BRPA4
angels-trumpet,Brugmansia,candida,BRCA12
smallflower bruguiera,Bruguiera,parviflora,BRPA15
Oriental mangrove,Bruguiera,sexangula,BRSE11
bruguiera,Bruguiera,spp.,BRUGU
West Indian sumac,Brunellia,comocladiifolia,BRCO6
American brunfelsia,Brunfelsia,americana,BRAM4
Serpentine Hill raintree,Brunfelsia,densifolia,BRDE4
vega blanca,Brunfelsia,lactea,BRLA5
Puerto Rico raintree,Brunfelsia,portoricensis,BRPO3
omail,Buchanania,engleriana,BUEN
gasu,Buchanania,merrillii,BUME4
"omail, deuachel",Buchanania,palawensis,BUPA16
Buchanania,Buchanania,spp.,BUCHA
fourleaf buchenavia,Buchenavia,tetraphylla,BUTE4
gregorywood,Bucida,buceras,BUBU
dogtail,Buddleja,asiatica,BUAS
cafe falso,Bunchosia,glandulifera,BUGL2
cafe forastero,Bunchosia,glandulosa,BUGL
Bunchosia polystachia,Bunchosia,polystachia,BUPO5
Burckella richii,Burckella,richii,BURI3
Buxus laevigata,Buxus,laevigata,BULA10
Puerto Rico box,Buxus,portoricensis,BUPO
Vahl's box,Buxus,vahlii,BUVA
maricao cimun,Byrsonima,crassifolia,BYCR
Long Key locustberry,Byrsonima,lucida,BYLU
doncella,Byrsonima,spicata,BYSP
almendrillo,Byrsonima,wadsworthii,BYWA
nicker,Caesalpinia,spp.,CAESA
divi divi,Caesalpinia,coriaria,CACO28
uhiuhi,Caesalpinia,kavaiensis,CAKA5
pride-of-Barbados,Caesalpinia,pulcherrima,CAPU13
sappanwood,Caesalpinia,sappan,CASA28
Surinamese stickpea,Calliandra,surinamensis,CASU33
caparosa,Callicarpa,ampla,CAAM14
crimson bottlebrush,Callistemon,citrinus,CACI15
Callitris columellaris,Callitris,columellaris,CACO2
Caloncoba echinata,Caloncoba,echinata,CAEC2
Antilles calophyllum,Calophyllum,antillanum,CAAN22
Alexandrian laurel,Calophyllum,inophyllum,CAIN4
tamanu,Calophyllum,neo-ebudicum,CANE31
chesemolech,Calophyllum,pelewense,CAPE15
"olebtaches, chesemolech",Calophyllum,soulattri,CASO12
calophyllum,Calophyllum,spp.,CALOP
roostertree,Calotropis,procera,CAPR
calotropis,Calotropis,spp.,CALOT
degame,Calycophyllum,candidissimum,CACA73
Kiaerskov's lidflower,Calyptranthes,kiaerskovii,CAKI
fagufagu,Meryta,macrophylla,MEMA16
omechidel,Meryta,senfftiana,MESE11
Meryta,Meryta,spp.,MERYT
collina,Metrosideros,collina,MEPOP2
ohia,Metrosideros,macropus,MEMA4
ohia lehua,Metrosideros,polymorpha,MEPO5
lehua papa,Metrosideros,rugosa,MERU2
lehua,Metrosideros,spp.,METRO
lehua ahihi,Metrosideros,tremuloides,METR5
Kauai bottlebrush,Metrosideros,waialealae,MEWA
ivory-nut palm,Metroxylon,amicarum,MEAM4
sago palm,Metroxylon,sagu,MESA7
Metroxylon,Metroxylon,spp.,METRO2
Orange Champak,Michelia,champaca,MICH4
hairy johnnyberry,Miconia,lanata,MILA10
saquiyac,Miconia,affinis,MIAF
velvet tree,Miconia,calvescens,MICA20
Puerto Rico johnnyberry,Miconia,foveolata,MIFO
camasey de costilla,Miconia,impetiolaris,MIIM
smooth johnnyberry,Miconia,laevigata,MILA8
camasey cuatrocanales,Miconia,mirabilis,MIMI3
camasey racimoso,Miconia,pachyphylla,MIPA7
granadillo bobo,Miconia,prasina,MIPR3
auquey,Miconia,punctata,MIPU9
ridge johnnyberry,Miconia,pycnoneura,MIPY2
camasey felpa,Miconia,racemosa,MIRA2
peralejo,Miconia,rubiginosa,MIRU4
jau jau,Miconia,serrulata,MISE2
mountain johnnyberry,Miconia,sintenisii,MISI2
forest johnnyberry,Miconia,subcorymbosa,MISU3
rajador,Miconia,tetrandra,MITE4
camasey tomaso,Miconia,thomasiana,MITH
talafulu,Micromelum,minutum,MIMI23
caimitillo verde,Micropholis,garciniifolia,MIGA
Micropholis guyanensis,Micropholis,guyanensis,MIGU2
pinnata,Millettia,pinnata,MIPI9
elegant mimosa,Mimosa,arenosa,MIAR4
"bulletwood, elengi",Mimusops,elengi,MIEL4
monodora,Monodora,spp.,MONOD
treedaisy,Montanoa,hibiscifolia,MOHI
montanoa,Montanoa,spp.,MONTA
Morella cerifera,Morella,cerifera,MOCE2
firetree,Morella,faya,MOFA
Morella holdridgeana,Morella,holdridgeana,MOHO3
bayberry,Morella,spp.,MOREL2
Indian mulberry,Morinda,citrifolia,MOCI3
ngel,Morinda,latibractea,MOLA12
Morinda pedunculata,Morinda,pedunculata,MOPE2
morinda,Morinda,spp.,MORIN
noni kuahiwi,Morinda,trimera,MOTR
horseradishtree,Moringa,oleifera,MOOL
ratapple,Morisonia,americana,MOAM
murta,Mouriri,domingensis,MODO2
mameyuelo,Mouriri,helleri,MOHE
falseohe,Munroidendron,racemosum,MURA3
strawberrytree,Muntingia,calabura,MUCA4
muntingia,Muntingia,spp.,MUNTI
Murraya exotica,Murraya,exotica,MUEX2
French plantain,Musa,paradisiaca,MUPA3
bungeltuu,Musa,coccinea,MUCO8
tama,Musa,nana,MUNA
tuu banana,Musa,sapientum,MUSA
meia,Musa,spp.,MUSA2
blantalos,Musa,textilis,MUTE6
tikap,Musa,tikap,MUTI
limoncillo,Calyptranthes,krugii,CAKR
Luquillo forest lidflower,Calyptranthes,luquillensis,CALU12
pale lidflower,Calyptranthes,pallens,CAPA8
Puerto Rico lidflower,Calyptranthes,portoricensis,CAPO9
limoncillo de monte,Calyptranthes,sintenisii,CASI8
Thomas' lidflower,Calyptranthes,thomasiana,CATH3
myrtle of the river,Calyptranthes,zuzygium,CAZU
Puerto Rico manac,Calyptronoma,rivalis,CARI3
"kelela charm, kiu",Campnosperma,brevipetiolatum,CABR18
ilang-ilang,Cananga,odorata,CAOD
mafoa,Canarium,mafoa,CAHA39
mesecheues,Canarium,hirsutum,CAHI14
lukerr,Canarium,indicum,CAIN42
Pili Nut,Canarium,ovatum,CAOV7
Canarium,Canarium,spp.,CANAR2
maali,Canarium,vitiense,CAVI26
wild cinnamon,Canella,winteriana,CAWI
Olasina,Psydrax,merrillii,CAME35
burro blanco,Capparis,amplissima,CAAM13
caper,Capparis,baducca,CABA2
Jamaican caper,Capparis,cynophallophora,CACY
falseteeth,Capparis,flexuosa,CAFL2
broadleaf caper,Capparis,hastata,CAHA9
linguam,Capparis,indica,CAIN5
crabwood,Carapa,guianensis,CAGU6
papaya,Carica,papaya,CAPA23
papaya,Carica,spp.,CARIC
scorpionbush,Carmona,retusa,CARE22
scorpionbush,Carmona,spp.,CARMO
fish tail palm,Caryota,mitis,CAMI36
Caryota,Caryota,spp.,CARYO
fishtail palm,Caryota,urens,CAUR3
rabo de ranton,Casearia,aculeata,CAAC3
gia verde,Casearia,arborea,CAAR8
keuert,Casearia,cauliflora,CACA28
wild honeytree,Casearia,decandra,CADE11
Guyanese wild coffee,Casearia,guianensis,CAGU2
Casearia,Casearia,spp.,CASEA
crackopen,Casearia,sylvestris,CASY2
golden shower,Cassia,fistula,CAFI3
pink shower,Cassia,grandis,CAGR11
apple blossom,Cassia,javanica,CAJA3
kassod tree,Cassia,siamea,CASI4
Cassia,Cassia,spp.,CASSI
marbletree,Cassine,xylocarpa,CAXY
goatwood,Cassipourea,guianensis,CAGU3
goatbush,Castela,erecta,CAER3
Panama rubbertree,Castilla,elastica,CAEL5
river sheoak,Casuarina,cunninghamiana,CACU8
beach sheoak,Casuarina,equisetifolia,CAEQ
"gagu,australian pine",Casuarina,litorea,CALI8
Haitian catalpa,Catalpa,longissima,CALO8
trumpet tree,Cecropia,obtusifolia,CEOB
pumpwood,Cecropia,schreberiana,CESC9
pumpwood,Cecropia,spp.,CECRO
Spanish cedar,Cedrela,odorata,CEOD
pochote,Ceiba,acuminata,CEAC4
pochote,Ceiba,aesculifolia,CEAE2
fei banana,Musa,troglodytarum,MUTR2
Mussaenda frondosa,Mussaenda,frondosa,MUFR3
aloalo vao,Mussaenda,raiateensis,MURA5
Mussaenda,Mussaenda,spp.,MUSSA
naio,Myoporum,sandwicense,MYSA
myoporum,Myoporum,spp.,MYOPO
red rodwood,Myrcia,citrifolia,MYCI
cieneguillo,Myrcia,deflexa,MYDE
curame,Myrcia,fallax,MYFA3
guayabacon,Myrcia,leptoclada,MYLE
ausu,Myrcia,paganii,MYPA
punchberry,Myrcia,splendens,MYSP
rodwood,Myrcia,spp.,MYRCI
twinberry,Myrcianthes,fragrans,MYFR
guavaberry,Myrciaria,floribunda,MYFL
"yamamomo, strawberry tree",Myrica,rubra,MYRU3
sweetgale,Myrica,spp.,MYRIC
atoneulu,Myristica,hypargyraea,MYHY2
adepurot,Myristica,insularis,MYIN3
Myristica,Myristica,spp.,MYRIS
cercipo,Myrospermum,frutescens,MYFR2
Myristica inutilis,Myristica,inutilis,MYIN4
balsam of Tolu,Myroxylon,balsamum,MYBA3
forest colicwood,Myrsine,alyxifolia,MYAL4
leathery colicwood,Myrsine,coriacea,MYCO2
Myrsine cubana,Myrsine,cubana,MYCU2
summit colicwood,Myrsine,degeneri,MYDE2
